23-03 MISSOURI        WEST  CENTRAL PLAINS          .1473 3834  9344    00001850
23-04 MISSOURI        WEST  OZARKS                  .1652 3712  9345    00001860
23-05 MISSOURI        EAST  OZARKS                  .2165 3734  9100    00001870
23-06 MISSOURI        BOOT  HEEL                    .0592 3663  8987    00001880
24-00 MONTANA                 145603    1535  147138                    00001890
24-01 MONTANA               WESTERN                 .1659 4726 11427    00001900
24-02 MONTANA         SOUTH WESTERN                 .0959 4539 11218    00001910
24-03 MONTANA         NORTH CENTRAL                 .1828 4823 11029    00001920
24-04 MONTANA               CENTRAL                 .1505 4692 11042    00001930
24-05 MONTANA         SOUTH CENTRAL                 .1184 4555 10863    00001940
24-06 MONTANA         NORTH EASTERN                 .1517 4790 10575    00001950
24-07 MONTANA         SOUTH EASTERN                 .1348 4600 10549    00001960
25-00 NEBRASKA                 76522     705   77227                    00001970
25-01 NEBRASKA        PANHANDLE                     .1842 4200 10300    00001980
25-02 NEBRASKA        NORTH CENTRAL                 .2438 4226 10035    00001990
25-03 NEBRASKA        NORTH EAST                    .0990 4224  9739    00002000
25-05 NEBRASKA              CENTRAL                 .0954 4117  9923    00002010
25-06 NEBRASKA        EAST  CENTRAL                 .1087 4116  9713    00002020
25-07 NEBRASKA        SOUTH WEST                    .1227 4070 10113    00002030
25-08 NEBRASKA        SOUTH CENTRAL                 .0589 4034  9914    00002040
25-09 NEBRASKA        SOUTH EAST                    .0873 4033  9704    00002050
26-00 NEVADA                  109889     651  110540                    00002060
26-01 NEVADA          NORTH WESTERN                 .2765 4060 11855    00002070
26-02 NEVADA          NORTH EASTERN                 .3282 4050 11548    00002080
26-03 NEVADA          SOUTH CENTRAL                 .3067 3806 11623    00002090
26-04 NEVADA          EXTREME SOUTH                 .0886 3648 11495    00002100
27-00 NEW HAMPSHIRE             9033     271    9304                    00002110
27-01 NEW HAMPSHIRE   NORTHERN                      .3078 4435  7166    00002120
27-02 NEW HAMPSHIRE   SOUTHERN                      .6922 4320  7174    00002130
28-00 NEW JERSEY                7532     304    7836                    00002140
28-01 NEW JERSEY      NORTHERN                      .3672 4083  7458    00002150
28-02 NEW JERSEY      SOUTHERN                      .5591 3984  7466    00002160
